Country,Continent,Sub_Region
Afghanistan,Asia,Southern Asia
Albania,Europe,Southern Europe
Algeria,Africa,Northern Africa
Andorra,Europe,Southern Europe
Angola,Africa,Middle Africa
Antigua and Barbuda,Americas,Caribbean
Argentina,Americas,South America
Armenia,Asia,Western Asia
Australia,Oceania,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Asia,Western Asia
Bahamas,Americas,Caribbean
Bahrain,Asia,Western Asia
Bangladesh,Asia,Southern Asia
Barbados,Americas,Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,Americas,Central America
Benin,Africa,Western Africa
Bhutan,Asia,Southern Asia
Bolivia,Americas,South America
Bosnia and Herzegovina,Europe,Southern Europe
Botswana,Africa,Southern Africa
Brazil,Americas,South America
Brunei,Asia,South-Eastern Asia
Bulgaria,Europe,Eastern Europe
Burkina Faso,Africa,Western Africa
Burundi,Africa,Eastern Africa
Cabo Verde,Africa,Western Africa
Cambodia,Asia,South-Eastern Asia
Cameroon,Africa,Middle Africa
Canada,Americas,Northern America
Central African Republic,Africa,Middle Africa
Chad,Africa,Middle Africa
Chile,Americas,South America
China,Asia,Eastern Asia
Colombia,Americas,South America
Congo,Africa,Middle Africa
Costa Rica,Americas,Central America
Cote d'Ivoire,Africa,Western Africa
Croatia,Europe,Southern Europe
Cuba,Americas,Caribbean
Cyprus,Asia,Western Asia
Czechia,Europe,Eastern Europe
Denmark,Europe,Northern Europe
Diamond Princess,,
Djibouti,Africa,Eastern Africa
Dominica,Americas,Caribbean
Dominican Republic,Americas,Caribbean
Ecuador,Americas,South America
Egypt,Africa,Northern Africa
El Salvador,Americas,Central America
Equatorial Guinea,Africa,Middle Africa
Eritrea,Africa,Eastern Africa
Estonia,Europe,Northern Europe
Eswatini,Africa,Southern Africa
Ethiopia,Africa,Eastern Africa
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
Gabon,Africa,Middle Africa
Gambia,Africa,Western Africa
Georgia,Asia,Western Asia
Germany,Europe,Western Europe
Ghana,Africa,Western Africa
Greece,Europe,Southern Europe
Grenada,Americas,Caribbean
Guatemala,Americas,Central America
Guinea,Africa,Western Africa
Guinea-Bissau,Africa,Western Africa
Guyana,Americas,South America
Haiti,Americas,Caribbean
Holy See,Europe,Southern Europe
Honduras,Americas,Central America
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,Southern Asia
Indonesia,Asia,South-Eastern Asia
Iran,Asia,Southern Asia
Iraq,Asia,Western Asia
Ireland,Europe,Northern Europe
Israel,Asia,Western Asia
Italy,Europe,Southern Europe
Jamaica,Americas,Caribbean
Japan,Asia,Eastern Asia
Jordan,Asia,Western Asia
Kazakhstan,Asia,Central Asia
Kenya,Africa,Eastern Africa
Kosovo,Europe,Southern Europe
Kuwait,Asia,Western Asia
Kyrgyzstan,Asia,Central Asia
Laos,Asia,South-Eastern Asia
Latvia,Europe,Northern Europe
Lebanon,Asia,Western Asia
Liberia,Africa,Western Africa
Libya,Africa,Northern Africa
Liechtenstein,Europe,Western Europe
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
Madagascar,Africa,Eastern Africa
Malawi,Africa,Eastern Africa
Malaysia,Asia,South-Eastern Asia
Maldives,Asia,Southern Asia
Mali,Africa,Western Africa
Malta,Europe,Southern Europe
Mauritania,Africa,Western Africa
Mauritius,Africa,Eastern Africa
Mexico,Americas,Central America
Moldova,Europe,Eastern Europe
Monaco,Europe,Western Europe
Mongolia,Asia,Eastern Asia
Montenegro,Europe,Southern Europe
Morocco,Africa,Northern Africa
Mozambique,Africa,Eastern Africa
MS Zaandam,,
Myanmar,Asia,South-Eastern Asia
Namibia,Africa,Southern Africa
Nepal,Asia,Southern Asia
Netherlands,Europe,Western Europe
New Zealand,Oceania,Australia and New Zealand
Nicaragua,Americas,Central America
Niger,Africa,Western Africa
Nigeria,Africa,Western Africa
North Macedonia,Europe,Southern Europe
Norway,Europe,Northern Europe
Oman,Asia,Western Asia
Pakistan,Asia,Southern Asia
Panama,Americas,Central America
Papua New Guinea,Oceania,Melanesia
Paraguay,Americas,South America
Peru,Americas,South America
Philippines,Asia,South-Eastern Asia
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Qatar,Asia,Western Asia
Romania,Europe,Eastern Europe
Russia,Europe,Eastern Europe
Rwanda,Africa,Eastern Africa
Saint Kitts and Nevis,Americas,Caribbean
Saint Lucia,Americas,Caribbean
Saint Vincent and the Grenadines,Americas,Caribbean
San Marino,Europe,Southern Europe
Sao Tome and Principe,Africa,Middle Africa
Saudi Arabia,Asia,Western Asia
Senegal,Africa,Western Africa
Serbia,Europe,Southern Europe
Seychelles,Africa,Eastern Africa
Sierra Leone,Africa,Western Africa
Singapore,Asia,South-Eastern Asia
Slovakia,Europe,Eastern Europe
Slovenia,Europe,Southern Europe
Somalia,Africa,Eastern Africa
South Africa,Africa,Southern Africa
South Korea,Asia,Eastern Asia
South Sudan,Africa,Eastern Africa
Spain,Europe,Southern Europe
Sri Lanka,Asia,Southern Asia
Sudan,Africa,Northern Africa
Suriname,Americas,South America
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Syria,Asia,Western Asia
Taiwan*,Asia,Eastern Asia
Tanzania,Africa,Eastern Africa
Thailand,Asia,South-Eastern Asia
Timor-Leste,Asia,South-Eastern Asia
Togo,Africa,Western Africa
Trinidad and Tobago,Americas,Caribbean
Tunisia,Africa,Northern Africa
Turkey,Asia,Western Asia
Uganda,Africa,Eastern Africa
Ukraine,Europe,Eastern Europe
United Arab Emirates,Asia,Western Asia
United Kingdom,Europe,Northern Europe
United States,Americas,Northern America
Uruguay,Americas,South America
Uzbekistan,Asia,Central Asia
Venezuela,Americas,South America
Vietnam,Asia,South-Eastern Asia
West Bank and Gaza,Asia,Western Asia
Western Sahara,Africa,Northern Africa
Yemen,Asia,Western Asia
Zambia,Africa,Eastern Africa
Zimbabwe,Africa,Eastern Africa
