State,Name,Percentage_of_Adults_Reporting_Poor_Health,Number_of_Poor_Physical_Health_Days_in_Past_30_,Percentage_of_Adult_Smokers,Percentage_of_Obese_Adults,Food_environment_index_0_to_10,Percentage_of_Adults_Reporting_No_Physical_Activity,Access_to_exercise_opportunities,Excessive_drinking_raw,Number_of_primary_care_physicians_per_100k,Ratio_of_population_to_primary_care_physicians,Percentage_of_Medicare_enrollees_that_had_an_annual_flu_vaccination,Children_in_poverty_raw_value,Income_inequality_raw_value,Air_pollution_particulate_matter_raw_value,Life_expectancy_raw_value,Life_expectancy_Black,Life_expectancy_Hispanic,Life_expectancy_White,Diabetes_prevalence_raw_value,HIV_prevalence_raw_value,Uninsured_adults_raw_value,Median_household_income_raw_value,Median_household_income_Black,Median_household_income_Hispanic,Median_household_income_White,Percentage_Non_Hispanic_Black_raw_value,Percentage_American_Indian_and_Alaska_Native_raw_value,Percentage_Asian_raw_value,Percentage_Native_Hawaiian_Other_Pacific_Islander_raw_value,Percentage_Hispanic_raw_value,Percentage_Non_Hispanic_White_raw_value,Percentage_Females_raw_value,Percentage_Males,Percentage_Rural_raw_value,Percentage_Urban
United States,United States,0.171986764,3.752828263,0.170800174,0.29,7.6,0.233,0.841686917,0.189770902,0.000754665,1325.09053,0.46,0.18,4.920017801,8.6,79.08913021,75.49144113,83.73334822,78.81734805,0.103,365.5,0.122475472,61937,,,,0.125019237,0.012677059,0.059084732,0.002443452,0.183000323,0.603808284,0.507503919,0.492496081,0.192690289,0.807309711
Alabama,Alabama,0.220287029,4.918051715,0.209273531,0.355,5.8,0.298,0.611122874,0.139035153,0.000648239,1542.641456,0.41,0.239,5.26113574,11,75.41619415,73.58426643,96.99681806,75.72694379,0.142,309.9,0.140897099,49881,,,,0.264977329,0.007032714,0.014969094,0.00106529,0.044432637,0.654134285,0.516330321,0.483669679,0.409631829,0.590368171
Alabama,Autauga,0.208829873,4.743888867,0.180815572,0.333,7.2,0.347,0.691301241,0.150260313,0.000450418,2220.16,0.41,0.193,5.234597269,11.7,76.87947717,75.04470836,,76.98586956,0.111,219.1,0.111489892,59338,27643,83423,65047,0.193431773,0.004802072,0.012247981,0.001115088,0.02965774,0.74308016,0.51448715,0.48551285,0.420021623,0.579978377
Alabama,Baldwin,0.175091344,4.224519202,0.174890326,0.31,8,0.265,0.73713549,0.179583101,0.000728973,1371.793548,0.44,0.139,4.417766679,10.3,78.45025837,75.72878003,91.83060696,78.36676882,0.107,166.5,0.143485248,57588,31112,43279,59418,0.087839759,0.007723991,0.011503426,0.000669657,0.046467788,0.831113374,0.515383769,0.484616231,0.422790991,0.577209009
Alabama,Barbour,0.295918017,5.430278859,0.219999845,0.417,5.6,0.235,0.531667699,0.128440156,0.000316581,3158.75,0.37,0.439,5.681410019,11.5,75.34193493,73.65737549,,76.93071722,0.176,420.6,0.160858341,34382,23013,30417,47031,0.480326353,0.006591375,0.004541618,0.0018488,0.042763555,0.456412524,0.472167517,0.527832483,0.677896347,0.322103653
Alabama,Bibb,0.194397242,4.591482438,0.191141999,0.376,7.8,0.335,0.162513637,0.155700424,0.000485266,2060.727273,0.38,0.278,4.368580511,11.2,73.57182028,72.88746947,,73.27306594,0.145,196.8,0.13,46064,34000,42708,50769,0.211205357,0.004375,0.002366071,0.001160714,0.02625,0.745892857,0.4678125,0.5321875,0.683526075,0.316473925
Alabama,Blount,0.217452928,4.86080763,0.19208672,0.338,8.4,0.303,0.156344859,0.142305938,0.000224088,4462.538462,0.39,0.18,4.430262332,11.7,74.1458259,,,73.64716974,0.17,99.8,0.170823419,50412,,35495,49872,0.014626556,0.00653527,0.003198479,0.001210235,0.09571231,0.868862379,0.507261411,0.492738589,0.89951502,0.10048498
Alabama,Bullock,0.309991019,5.359159343,0.22894664,0.372,4.3,0.246,0.025013744,0.120941012,0.000291008,3436.333333,0.28,0.683,7.410195994,11.2,73.53089479,71.63246463,,77.07520786,0.237,632.9,0.152409639,29267,21875,,63636,0.695403433,0.008384297,0.001874137,0.007496548,0.079601499,0.212172026,0.454823437,0.545176563,0.513743815,0.486256185
Alabama,Butler,0.279106732,5.400806197,0.21765335,0.433,6.6,0.395,0.485797489,0.118574034,0.000252207,3965,0.35,0.363,5.423595582,10.6,72.9183092,71.45026833,,73.95002996,0.192,311,0.145057653,37365,26260,8558,49094,0.445579268,0.003760163,0.013160569,0.00050813,0.015091463,0.512550813,0.534298781,0.465701219,0.712321574,0.287678426
Alabama,Calhoun,0.231077332,4.88037674,0.206125604,0.385,6.9,0.317,0.477212158,0.138422302,0.000636288,1571.616438,0.38,0.265,5.023896449,11.8,73.03910859,73.1339352,107.3039338,72.59197727,0.175,226.3,0.153886871,45400,28478,36766,51481,0.208502148,0.005399162,0.009643235,0.001102584,0.039106732,0.720249919,0.519465859,0.480534141,0.336968256,0.663031744
